Temperature,Rainfall,Humidity,Pressure,RainToday,RainTomorrow
18.15,0.6,9.375,4.9875,No,0
16.25,0,8.125,4.0625,No,0
24.9,1,12.95,6.975,No,0
22.15,0.2,11.175,5.6875,No,0
17.2,0,8.6,4.3,No,0
21.6,1.4,11.5,6.45,Yes,0
21.9,0,10.95,5.475,No,1
18.8,2.2,10.5,6.35,Yes,1
16.8,3.6,10.2,6.9,Yes,0
17.5,0,8.75,4.375,No,1
18.2,16.8,17.5,17.15,Yes,1
16.85,10.6,13.725,12.1625,Yes,0
17.7,0,8.85,4.425,No,0
25.05,0,12.525,6.2625,No,0
26.15,0,13.075,6.5375,No,0
23.1,0,11.55,5.775,No,0
22.5,0,11.25,5.625,No,0
24.95,0,12.475,6.2375,No,0
26.4,0,13.2,6.6,No,0
23.45,0,11.725,5.8625,No,1
18.35,1.2,9.775,5.4875,Yes,0
16.75,0,8.375,4.1875,No,0
19.65,0,9.825,4.9125,No,0
23.45,0,11.725,5.8625,No,0
27.5,0,13.75,6.875,No,0
21.15,0,10.575,5.2875,No,0
20.45,0,10.225,5.1125,No,0
23.9,0,11.95,5.975,No,0
26,0,13,6.5,No,0
27.45,0,13.725,6.8625,No,0
26.25,0,13.125,6.5625,No,0
20.8,0,10.4,5.2,No,0
21.75,0,10.875,5.4375,No,0
29.25,0,14.625,7.3125,No,0
27,6.4,16.7,11.55,Yes,0
25.7,0,12.85,6.425,No,0
24.15,0,12.075,6.0375,No,0
27.05,0,13.525,6.7625,No,0
31.65,0,15.825,7.9125,No,0
32.35,0,16.175,8.0875,No,0
35.55,0,17.775,8.8875,No,0
31.35,0.2,15.775,7.9875,No,0
29.3,0,14.65,7.325,No,0
32.85,0,16.425,8.2125,No,0
33.55,0,16.775,8.3875,No,0
34.25,0,17.125,8.5625,No,0
21.1,0,10.55,5.275,No,0
20.1,0,10.05,5.025,No,0
21.8,3,12.4,7.7,Yes,0
20.8,0,10.4,5.2,No,0
24.15,0,12.075,6.0375,No,0
25,0,12.5,6.25,No,0
25.1,0,12.55,6.275,No,0
23.9,0,11.95,5.975,No,0
22.7,0,11.35,5.675,No,0
24.35,0,12.175,6.0875,No,0
24.15,0,12.075,6.0375,No,0
21.25,0,10.625,5.3125,No,0
23.85,0,11.925,5.9625,No,0
24,0,12,6,No,0
21.55,0,10.775,5.3875,No,0
22.55,0,11.275,5.6375,No,0
24.55,0,12.275,6.1375,No,0
16.75,0,8.375,4.1875,No,0
15.8,0,7.9,3.95,No,0
18.1,0,9.05,4.525,No,0
20.6,0,10.3,5.15,No,0
22.8,0,11.4,5.7,No,0
24.45,1.2,12.825,7.0125,Yes,0
23.3,0,11.65,5.825,No,1
21.45,5.8,13.625,9.7125,Yes,1
21.7,3,12.35,7.675,Yes,1
15.35,0,7.675,3.8375,No,0
16.85,0,8.425,4.2125,No,0
18.65,0,9.325,4.6625,No,0
20.7,0,10.35,5.175,No,0
23.7,0,11.85,5.925,No,0
22.3,0,11.15,5.575,No,0
23,0,11.5,5.75,No,0
18.85,0.4,9.625,5.0125,No,1
21.55,1.8,11.675,6.7375,Yes,0
18.85,0,9.425,4.7125,No,0
19,0,9.5,4.75,No,0
20.8,0,10.4,5.2,No,0
21.9,0,10.95,5.475,No,0
21.1,0,10.55,5.275,No,0
21.4,0,10.7,5.35,No,0
23.25,8.6,15.925,12.2625,Yes,1
14.75,0,7.375,3.6875,No,0
14.75,0,7.375,3.6875,No,0
15,0,7.5,3.75,No,0
16.1,0,8.05,4.025,No,0
16.9,0,8.45,4.225,No,0
19.15,0,9.575,4.7875,No,1
18.95,8.4,13.675,11.0375,Yes,1
17.65,0,8.825,4.4125,No,0
18.6,0,9.3,4.65,No,0
11.75,0,5.875,2.9375,No,0
14.1,0,7.05,3.525,No,0
17.55,0,8.775,4.3875,No,0
14.7,0,7.35,3.675,No,0
13.55,0,6.775,3.3875,No,0
14.45,0,7.225,3.6125,No,0
13.4,0,6.7,3.35,No,1
14.35,20,17.175,18.5875,Yes,1
10.75,21,15.875,18.4375,Yes,1
8,3.2,5.6,4.4,Yes,1
11.05,4.8,7.925,6.3625,Yes,0
8.8,0,4.4,2.2,No,0
9.3,0,4.65,2.325,No,0
13.2,0,6.6,3.3,No,0
11.75,0,5.875,2.9375,No,0
11.65,0,5.825,2.9125,No,0
12,0,6,3,No,0
11.7,0,5.85,2.925,No,0
11.65,0,5.825,2.9125,No,0
12.1,0,6.05,3.025,No,0
12.45,0,6.225,3.1125,No,0
11,0,5.5,2.75,No,0
11.05,0,5.525,2.7625,No,0
9.35,0,4.675,2.3375,No,0
13.45,0,6.725,3.3625,No,1
9.3,0,4.65,2.325,No,0
11.15,0,5.575,2.7875,No,0
11.85,0,5.925,2.9625,No,0
12.1,0,6.05,3.025,No,0
12.25,0,6.125,3.0625,No,0
14.55,0,7.275,3.6375,No,0
14.85,4.2,9.525,6.8625,Yes,0
12.1,0.8,6.45,3.625,No,0
9.15,0,4.575,2.2875,No,0
9.35,0,4.675,2.3375,No,0
9.5,0,4.75,2.375,No,0
10.9,1.4,6.15,3.775,Yes,1
13.15,8,10.575,9.2875,Yes,0
9.45,0,4.725,2.3625,No,0
6.1,0.2,3.15,1.675,No,1
8.15,14.4,11.275,12.8375,Yes,1
10.5,4.6,7.55,6.075,Yes,1
7.55,2,4.775,3.3875,Yes,1
6.75,5.6,6.175,5.8875,Yes,0
3.8,0,1.9,0.95,No,0
3.45,0,1.725,0.8625,No,0
7.1,0,3.55,1.775,No,0
8.9,0,4.45,2.225,No,0
7.7,0.4,4.05,2.225,No,0
9.45,0,4.725,2.3625,No,0
8.25,0,4.125,2.0625,No,0
7.6,0,3.8,1.9,No,0
7.9,0,3.95,1.975,No,0
9.1,0,4.55,2.275,No,1
12,1.6,6.8,4.2,Yes,1
9.95,5.6,7.775,6.6875,Yes,0
9.7,0,4.85,2.425,No,1
10.9,6,8.45,7.225,Yes,0
10.15,0,5.075,2.5375,No,1
10.8,5.4,8.1,6.75,Yes,1
11.95,3.6,7.775,5.6875,Yes,1
12.6,2,7.3,4.65,Yes,1
10.8,8.4,9.6,9,Yes,1
10.2,5,7.6,6.3,Yes,1
9.8,7.8,8.8,8.3,Yes,0
9.45,0,4.725,2.3625,No,0
6.05,0,3.025,1.5125,No,0
6.8,0,3.4,1.7,No,0
9.5,1,5.25,3.125,No,1
8.95,6.8,7.875,7.3375,Yes,1
7.05,0.2,3.625,1.9125,No,0
5.5,0,2.75,1.375,No,0
8.65,0.6,4.625,2.6125,No,0
9.25,0,4.625,2.3125,No,0
9.75,9.8,9.775,9.7875,Yes,0
6.4,0,3.2,1.6,No,0
5.95,0,2.975,1.4875,No,0
5.95,0,2.975,1.4875,No,0
5.05,0,2.525,1.2625,No,1
10.75,2.4,6.575,4.4875,Yes,0
10.5,5.2,7.85,6.525,Yes,0
10.65,0.2,5.425,2.8125,No,0
10.8,0.8,5.8,3.3,No,0
11.05,0.8,5.925,3.3625,No,0
8.95,0,4.475,2.2375,No,1
9.75,5.4,7.575,6.4875,Yes,0
11.1,0.4,5.75,3.075,No,0
10.95,0.8,5.875,3.3375,No,1
5.6,0,2.8,1.4,No,0
11.8,0.4,6.1,3.25,No,1
10.6,4.8,7.7,6.25,Yes,0
9.65,0.2,4.925,2.5625,No,1
11,1.2,6.1,3.65,Yes,0
10.3,1.6,5.95,3.775,Yes,1
8.9,3.2,6.05,4.625,Yes,0
9,0,4.5,2.25,No,0
11.95,0,5.975,2.9875,No,0
11.05,1,6.025,3.5125,No,1
7.15,6.6,6.875,6.7375,Yes,1
12.35,3.8,8.075,5.9375,Yes,1
9.95,2,5.975,3.9875,Yes,1
9.3,3.6,6.45,5.025,Yes,0
8.9,0.4,4.65,2.525,No,0
9.85,0,4.925,2.4625,No,1
8.7,13.4,11.05,12.225,Yes,1
8.9,0,4.45,2.225,No,0
11.6,1.4,6.5,3.95,Yes,0
8.55,0,4.275,2.1375,No,0
9.1,0,4.55,2.275,No,0
11.1,0,5.55,2.775,No,0
10.9,0,5.45,2.725,No,0
19.15,0,9.575,4.7875,No,0
11.05,0,5.525,2.7625,No,0
9.4,0,4.7,2.35,No,0
11.95,0,5.975,2.9875,No,0
12.65,0,6.325,3.1625,No,1
13.9,10.2,12.05,11.125,Yes,0
13,0,6.5,3.25,No,0
13.05,28.8,20.925,24.8625,Yes,1
13.2,1.4,7.3,4.35,Yes,0
9.35,0,4.675,2.3375,No,0
15,0,7.5,3.75,No,0
11,3.2,7.1,5.15,Yes,1
12.9,1.8,7.35,4.575,Yes,0
14,0.2,7.1,3.65,No,0
